Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1764713281,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764713282,250,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764713283,250,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1764713284,250,,Aggregated,0.000000,0.000000,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2,0,2800.0,2802.8745500000005,2754.7955,2850.9536000000003,107.0
1764713285,250,,Aggregated,0.000000,0.000000,3500,3700,3900,3900,4000,4000,4000,4000,4000,4000,4000,9,0,3500.0,3175.860255555556,588.4752000000004,3970.2333,106.77777777777777
1764713286,250,,Aggregated,0.000000,0.000000,3700,3900,4000,4000,4100,4300,4300,4300,4300,4300,4300,11,0,3700.0,3370.8348,588.4752000000004,4346.7244,106.81818181818181
1764713287,250,,Aggregated,0.666667,0.000000,4000,4300,5200,5300,5500,5600,5600,5600,5600,5600,5600,18,0,3900.0,3903.3111999999996,588.4752000000004,5642.381600000001,107.27777777777777
1764713288,250,,Aggregated,2.000000,0.000000,4100,5300,5500,5600,6200,6600,6700,6700,6700,6700,6700,23,0,4100.0,4207.337865217391,588.4752000000004,6742.8836,107.21739130434783
1764713289,250,,Aggregated,3.000000,0.000000,4300,5500,6200,6600,7800,7800,7900,7900,7900,7900,7900,31,0,4300.0,4473.893854838709,512.8024,7942.4065,106.87096774193549
1764713290,250,,Aggregated,3.000000,0.000000,5300,6700,7800,8000,8300,8500,8600,8600,8600,8600,8600,44,0,5200.0,4890.031977272726,195.39229999999998,8614.0866,106.72727272727273
1764713291,250,,Aggregated,3.625000,0.000000,5300,7800,8300,8500,9900,9900,9900,10000,10000,10000,10000,64,0,5200.0,5015.395049999999,195.39229999999998,9999.6846,106.671875
1764713292,250,,Aggregated,3.625000,0.000000,5300,7800,8400,8600,9900,10000,11000,11000,11000,11000,11000,72,0,5200.0,5085.972177777778,195.39229999999998,10823.5916,106.75
